ID,THINKING CAPACITY,LOGICAL THINKING,ANALYTICAL POWER,NUMERACY,STRESS RESISTANCE,ACHIEVEMENT MOTIVATION,CONTINUOUS LEARNING,TASK COMMITMENT,INTEGRITY,EMOTIONAL STABILITY,SELF-ADJUSTMENT,SOCIAL RELATIONS,EFFECTIVE COMMUNICATION,CO-OPERATION,PRETEST GRADE,FINAL SCORE,LEARNING STATUS
1,4,5,4,5,4,3,4,4,4,3,4,3,4,3,48,88,PASS
2,2,3,2,2,3,4,3,4,4,3,3,3,3,3,46,59,FAIL
3,2,3,3,2,3,3,4,4,4,2,3,2,3,3,32,59,FAIL
4,1,3,2,3,4,2,3,4,5,3,4,4,4,4,29,52,FAIL
5,5,5,5,5,4,4,4,4,4,3,4,3,4,3,47,84,PASS
6,3,3,3,4,3,3,3,3,3,2,2,3,2,3,45,52,FAIL
7,4,4,3,3,3,3,3,4,4,3,4,3,4,3,42,80,PASS
8,5,4,4,5,3,3,4,4,4,3,3,3,3,4,44,77,PASS
9,5,4,4,4,3,3,3,4,4,3,4,3,4,3,39,72,PASS
10,2,3,3,2,3,2,3,4,4,3,3,3,3,3,35,57,FAIL
11,2,3,2,2,3,2,2,3,3,3,2,3,3,3,29,54,FAIL
12,2,3,2,1,3,3,3,4,4,3,3,3,3,3,32,58,FAIL
13,6,5,5,3,4,3,4,4,4,3,4,3,4,3,41,83,PASS
14,4,4,4,3,4,4,4,4,4,3,4,4,4,4,37,87,PASS
15,6,5,5,4,3,3,3,4,4,3,3,3,4,3,45,67,PASS
16,4,4,3,3,3,3,4,4,4,3,3,3,4,3,31,79,PASS
17,5,4,5,4,3,3,3,4,4,3,3,3,4,3,28,74,PASS
18,2,3,3,2,3,3,3,4,4,3,2,2,2,3,26,53,FAIL
19,1,2,2,2,3,2,2,4,3,2,3,3,3,3,21,51,FAIL
20,2,3,2,2,3,3,3,4,4,3,4,3,3,2,0,57,FAIL
21,5,4,5,4,3,3,3,4,4,3,3,2,4,3,51,62,PASS
22,1,2,1,1,2,2,3,4,4,2,4,2,3,2,0,51,FAIL
23,5,5,4,4,4,3,4,4,4,3,3,3,4,3,37,72,PASS
24,1,2,2,1,2,3,2,3,3,3,3,3,3,3,30,57,FAIL
25,2,3,3,3,3,3,3,4,4,2,3,2,3,3,26,59,FAIL
26,5,4,5,3,3,4,4,4,4,3,3,3,4,3,49,80,PASS
27,5,4,4,3,3,3,3,3,4,3,3,3,3,3,42,53,FAIL
28,4,4,4,3,3,3,3,4,4,3,3,3,3,3,45,61,PASS
29,5,4,4,3,4,4,4,4,4,3,3,3,4,3,48,77,PASS
30,2,2,2,2,2,2,3,4,4,3,3,3,2,3,25,52,FAIL
31,4,4,3,4,3,3,3,4,4,3,3,3,4,3,32,62,PASS
32,3,3,4,3,3,3,3,4,4,3,3,3,3,3,19,64,PASS
33,1,2,2,1,4,3,4,4,4,3,3,3,3,3,26,52,FAIL
34,5,4,5,3,3,3,4,4,4,3,4,3,4,3,43,75,PASS
35,4,4,3,3,4,3,3,3,4,2,2,3,3,3,41,53,FAIL
36,4,3,4,3,3,3,3,4,4,3,3,3,3,3,42,61,PASS
37,4,4,4,3,4,3,3,4,4,3,3,3,4,4,38,71,PASS
38,5,4,4,4,4,3,4,4,4,3,4,3,4,3,34,88,PASS
39,4,4,3,4,4,3,3,4,4,3,4,3,3,2,46,66,PASS
40,5,5,4,4,4,3,4,4,4,3,3,3,4,4,34,80,PASS
41,3,3,3,2,3,3,3,3,4,3,4,4,4,3,38,51,FAIL
42,5,5,4,4,3,3,3,4,4,3,3,3,3,3,37,64,PASS
43,6,5,5,5,4,4,4,5,4,4,4,3,3,3,40,73,PASS
44,2,2,2,2,3,3,3,3,3,2,3,3,3,3,35,54,FAIL
45,2,3,3,2,4,3,4,4,4,3,4,3,3,3,26,55,FAIL
46,4,3,3,4,4,3,4,3,3,3,4,4,4,4,41,66,PASS
47,3,4,3,3,4,3,4,4,4,3,4,3,4,3,40,75,PASS
48,6,5,5,5,4,3,4,4,4,3,4,3,4,3,31,84,PASS
49,6,5,5,4,4,3,4,4,4,3,3,3,4,3,32,78,PASS
50,2,3,2,3,3,2,2,3,3,3,3,3,3,3,27,56,FAIL
51,5,4,4,5,3,3,3,4,4,3,3,3,3,3,45,70,PASS
52,5,4,4,4,4,3,4,4,4,3,3,3,4,3,47,71,PASS
53,3,3,4,3,4,4,3,4,4,4,3,4,4,3,39,77,PASS
54,5,4,4,4,3,3,4,4,4,3,3,3,3,3,45,78,PASS
55,1,2,2,2,2,2,3,3,4,3,3,3,4,3,33,57,FAIL
56,3,3,3,3,4,3,3,4,4,3,3,3,3,3,32,69,PASS
57,4,4,4,2,2,3,4,4,4,3,3,3,3,3,33,61,PASS
58,4,4,4,3,3,3,3,4,4,3,3,3,3,3,30,63,PASS
59,6,5,5,5,3,4,4,4,4,3,4,3,4,3,37,73,PASS
60,3,2,3,3,3,3,2,3,3,3,2,3,3,3,30,52,FAIL
